FII;Vacancia;Inadimplencia;DataAtualizacao
FATN11;0.0151;0;22-06-2026 12:47
FCFL11;0.0;0;22-06-2026 12:47
FIGS11;0.07;0;22-06-2026 12:47
FIIB11;0.0631;0;22-06-2026 12:47
FIIC11;0.0;0;22-06-2026 12:47
FIIP11;0.0;0;22-06-2026 12:47
FINF11;0.0;0;22-06-2026 12:47
FISC11;0.0942;0;22-06-2026 12:47
FISD11;0.0;0;22-06-2026 12:47
FIVN11;0.56;0;22-06-2026 12:47
FLCR11;0.0;0;22-06-2026 12:47
FLMA11;0.0549;0;22-06-2026 12:47
FLNR11;0.0;0;22-06-2026 12:47
FLRP11;0.014;0;22-06-2026 12:47
FMOF11;0.0;0;22-06-2026 12:47
FPAB11;0.11;0;22-06-2026 12:47
FPNG11;0.021;0;22-06-2026 12:47
FRBC11;0;0;22-06-2026 12:47
FRRE11;0;0;22-06-2026 12:47
FTCE11;0;0;22-06-2026 12:47
FTRE11;0;0;22-06-2026 12:47
FVPQ11;0.135;0.0012;22-06-2026 12:47
FYTO11;0.0;0;22-06-2026 12:47
GAME11;0.0;0;22-06-2026 12:47
GARE11;0.0;0;22-06-2026 12:47
GCDL11;0.0;0;22-06-2026 12:47
GCOI11;0.0;0;22-06-2026 12:47
GCRI11;0.0;0;22-06-2026 12:47
GFDL11;0;0;22-06-2026 12:47
GGRC11;0.0019;0;22-06-2026 12:47
GLCR11;0;0;22-06-2026 12:47
GLOG11;0.0;0;22-06-2026 12:47
GLPF11;0;0;22-06-2026 12:47
GRUL11;0.0;0;22-06-2026 12:47
GSFI11;0.107;0;22-06-2026 12:47
GSRF11;0;0;22-06-2026 12:47
GTWR11;0.0;0;22-06-2026 12:47
GZIT11;0.042;0;22-06-2026 12:47
HAAA11;0.0965;0;22-06-2026 12:47
HABT11;0.0;0;22-06-2026 12:47
HBCR11;0.0;0;22-06-2026 12:47
HCHG11;0.0;0;22-06-2026 12:47
HCRI11;0.0;0;22-06-2026 12:47
HCST11;0.2;0;22-06-2026 12:47
HCTB11;0;0;22-06-2026 12:47
HCTR11;0.0;0;22-06-2026 12:47
HDEL11;0.0;0;22-06-2026 12:47
HDOF11;0.0;0;22-06-2026 12:47
HFOF11;0.0;0;22-06-2026 12:47
HGBL11;0.0;0;22-06-2026 12:47
HGBS11;0.048;0;22-06-2026 12:47
HGCR11;0.0;0.008;22-06-2026 12:47
HGIC11;0.0;0;22-06-2026 12:47
HGLG11;0.039;0;22-06-2026 12:47
HGPO11;0.0;0;22-06-2026 12:47
HGRE11;0.058;0;22-06-2026 12:47
HGRU11;0.008;0;22-06-2026 12:47
HILG11;0.0;0;22-06-2026 12:47
HIRE11;0;0;22-06-2026 12:47
HJCT11;0.0;0;22-06-2026 12:47
HLMB11;0;0;22-06-2026 12:47
HLOG11;0.0;0;22-06-2026 12:47
HOFC11;0.52;0;22-06-2026 12:47
HOMS11;0.0;0;22-06-2026 12:47
HOSI11;0.096;0;22-06-2026 12:47
HPDP11;0.015;0;22-06-2026 12:47
HRDF11;0.0;0;22-06-2026 12:47
HREC11;0.0;0;22-06-2026 12:47
HRES11;0.0;0;22-06-2026 12:47
HSAF11;0.0;0;22-06-2026 12:47
HSLG11;0.0;0;22-06-2026 12:47
HSML11;0.038;0;22-06-2026 12:47
HSRE11;0.0;0;22-06-2026 12:47
HTMX11;0.3;0;22-06-2026 12:47
HUCG11;0.0;0;22-06-2026 12:47
HUSC11;0.0;0;22-06-2026 12:47
HUSI11;0.0;0;22-06-2026 12:47
HYPI11;0;0;22-06-2026 12:47
IBBP11;0.04;0;22-06-2026 12:47
IBCR11;0.0;0;22-06-2026 12:47
ICDI11;0;0;22-06-2026 12:47
ICNE11;0.0;0;22-06-2026 12:47
ICRI11;0.0;0;22-06-2026 12:47
IDUA11;0;0;22-06-2026 12:47
ILOG11;0;0;22-06-2026 12:47
IMMB11;0.0;0;22-06-2026 12:47
INDE11;0.0;0;22-06-2026 12:47
INLG11;0.0;0;22-06-2026 12:47
INRD11;0.051;0.008;22-06-2026 12:47
IRIM11;0.0;0.0015;22-06-2026 12:47
ITIP11;0.0;0;22-06-2026 12:47
ITIT11;0.0;0;22-06-2026 12:47
ITRI11;0.0;0;22-06-2026 12:47
IVCI11;0.0;0;22-06-2026 12:47
JASC11;0.007;0;22-06-2026 12:47
JCCJ11;0.025;0;22-06-2026 12:47
JCDA11;0.0;0;22-06-2026 12:47
JCDB11;0.0;0;22-06-2026 12:47
JFLL11;0.42;0;22-06-2026 12:47
JPPA11;0.0;0;22-06-2026 12:47
JSAF11;0.0;0;22-06-2026 12:47
JSCR11;0.0;0;22-06-2026 12:47
JSRE11;0.091;0;22-06-2026 12:47
JTPR11;0.0;0;22-06-2026 12:47
KCRE11;0.0;0;22-06-2026 12:47
KDLG11;0;0;22-06-2026 12:47
